time,gridY,gridX,ssh
UTC,count,count,m
2019-01-14T18:30:00Z,495,216,1.4976084
2019-01-14T19:30:00Z,495,216,1.4983426
2019-01-14T20:30:00Z,495,216,1.2858192
2019-01-14T21:30:00Z,495,216,0.915576
2019-01-14T22:30:00Z,495,216,0.43410373
2019-01-14T23:30:00Z,495,216,-0.078858696
2019-01-15T00:30:00Z,495,216,-0.5203858
2019-01-15T01:30:00Z,495,216,-0.8286303
2019-01-15T02:30:00Z,495,216,-0.940963
2019-01-15T03:30:00Z,495,216,-0.8439543
2019-01-15T04:30:00Z,495,216,-0.6118822
2019-01-15T05:30:00Z,495,216,-0.29991376
2019-01-15T06:30:00Z,495,216,0.027961949
2019-01-15T07:30:00Z,495,216,0.29110843
2019-01-15T08:30:00Z,495,216,0.4375428
2019-01-15T09:30:00Z,495,216,0.44122747
2019-01-15T10:30:00Z,495,216,0.3438267
2019-01-15T11:30:00Z,495,216,0.2207469
2019-01-15T12:30:00Z,495,216,0.11154556
2019-01-15T13:30:00Z,495,216,0.08366793
2019-01-15T14:30:00Z,495,216,0.20093876
2019-01-15T15:30:00Z,495,216,0.46045333
2019-01-15T16:30:00Z,495,216,0.7937515
2019-01-15T17:30:00Z,495,216,1.1419214
2019-01-15T18:30:00Z,495,216,1.4209296
2019-01-15T19:30:00Z,495,216,1.5531954
2019-01-15T20:30:00Z,495,216,1.4796599
2019-01-15T21:30:00Z,495,216,1.1858238
2019-01-15T22:30:00Z,495,216,0.73899746
2019-01-15T23:30:00Z,495,216,0.2040261
2019-01-16T00:30:00Z,495,216,-0.34753194
2019-01-16T01:30:00Z,495,216,-0.82567686
2019-01-16T02:30:00Z,495,216,-1.1396145
2019-01-16T03:30:00Z,495,216,-1.2148682
2019-01-16T04:30:00Z,495,216,-1.0622456
2019-01-16T05:30:00Z,495,216,-0.7500764
2019-01-16T06:30:00Z,495,216,-0.3277378
2019-01-16T07:30:00Z,495,216,0.11733087
2019-01-16T08:30:00Z,495,216,0.4960027
2019-01-16T09:30:00Z,495,216,0.75003827
2019-01-16T10:30:00Z,495,216,0.8342298
2019-01-16T11:30:00Z,495,216,0.7832327
2019-01-16T12:30:00Z,495,216,0.6668607
2019-01-16T13:30:00Z,495,216,0.53040826
2019-01-16T14:30:00Z,495,216,0.4535351
2019-01-16T15:30:00Z,495,216,0.50231344
2019-01-16T16:30:00Z,495,216,0.68735915
2019-01-16T17:30:00Z,495,216,0.9614801
2019-01-16T18:30:00Z,495,216,1.2443705
2019-01-16T19:30:00Z,495,216,1.4640006
2019-01-16T20:30:00Z,495,216,1.5384904
2019-01-16T21:30:00Z,495,216,1.3987398
