,b1,b2,b3,b4,b5
442,570.0,515.0,458.0,620.0,415.0
443,570.0,514.0,458.0,619.0,417.0
444,571.0,515.0,457.0,618.0,415.0
445,572.0,515.0,460.0,619.0,415.0
446,571.0,513.0,457.0,618.0,415.0
447,570.0,514.0,458.0,619.0,415.0
448,571.0,513.0,459.0,618.0,416.0
449,572.0,514.0,457.0,618.0,415.0
450,572.0,514.0,458.0,619.0,416.0
451,571.0,513.0,458.0,620.0,417.0
452,571.0,513.0,457.0,618.0,416.0
453,570.0,514.0,457.0,620.0,416.0
454,571.0,513.0,457.0,619.0,415.0
455,570.0,513.0,458.0,618.0,417.0
456,572.0,514.0,458.0,619.0,415.0
457,571.0,514.0,458.0,619.0,415.0
458,570.0,515.0,457.0,621.0,415.0
459,570.0,516.0,457.0,620.0,415.0
460,572.0,514.0,459.0,618.0,416.0
461,571.0,515.0,458.0,620.0,415.0
462,571.0,513.0,457.0,618.0,415.0
463,571.0,514.0,457.0,618.0,417.0
464,572.0,514.0,458.0,618.0,415.0
465,572.0,514.0,457.0,621.0,417.0
466,573.0,513.0,461.0,619.0,416.0
467,571.0,513.0,457.0,621.0,416.0
468,570.0,516.0,458.0,621.0,416.0
469,572.0,513.0,458.0,619.0,415.0
470,570.0,513.0,458.0,619.0,416.0
471,573.0,513.0,460.0,619.0,415.0
472,571.0,514.0,457.0,619.0,415.0
473,570.0,513.0,457.0,618.0,415.0
474,570.0,513.0,459.0,620.0,415.0
475,570.0,513.0,458.0,620.0,415.0
476,570.0,516.0,457.0,620.0,416.0
477,570.0,514.0,459.0,618.0,416.0
478,570.0,514.0,457.0,618.0,415.0
479,572.0,515.0,457.0,620.0,415.0
480,570.0,515.0,457.0,619.0,415.0
481,570.0,513.0,459.0,619.0,417.0
482,572.0,513.0,457.0,619.0,415.0
483,571.0,513.0,459.0,618.0,415.0
484,571.0,514.0,458.0,619.0,415.0
485,570.0,513.0,457.0,619.0,415.0
486,571.0,513.0,457.0,620.0,415.0
487,570.0,513.0,458.0,618.0,416.0
488,573.0,514.0,458.0,619.0,416.0
489,571.0,514.0,458.0,618.0,416.0
490,573.0,514.0,457.0,619.0,416.0
491,571.0,514.0,457.0,619.0,415.0
492,570.0,513.0,457.0,618.0,416.0
493,570.0,514.0,457.0,619.0,416.0
494,571.0,513.0,457.0,620.0,415.0
495,570.0,513.0,457.0,618.0,415.0
496,570.0,515.0,457.0,618.0,416.0
497,570.0,514.0,457.0,619.0,415.0
498,570.0,513.0,459.0,618.0,415.0
499,572.0,513.0,457.0,618.0,415.0
500,570.0,513.0,457.0,618.0,415.0
501,571.0,514.0,457.0,618.0,416.0
502,570.0,513.0,457.0,618.0,415.0
503,571.0,513.0,457.0,619.0,415.0
504,570.0,515.0,458.0,618.0,417.0
505,570.0,514.0,457.0,618.0,415.0
506,570.0,513.0,458.0,620.0,416.0
507,570.0,516.0,457.0,619.0,415.0
508,573.0,514.0,457.0,620.0,415.0
509,570.0,515.0,459.0,618.0,417.0
510,570.0,516.0,458.0,619.0,415.0
511,570.0,515.0,459.0,621.0,417.0
512,571.0,514.0,457.0,618.0,415.0
513,572.0,513.0,458.0,619.0,416.0
514,571.0,514.0,457.0,618.0,416.0
515,572.0,513.0,458.0,618.0,417.0
516,571.0,514.0,457.0,620.0,415.0
517,571.0,516.0,458.0,620.0,415.0
518,574.0,515.0,458.0,619.0,415.0
519,571.0,513.0,457.0,622.0,418.0
520,570.0,513.0,457.0,620.0,417.0
521,570.0,515.0,458.0,619.0,417.0
522,570.0,514.0,457.0,619.0,416.0
523,570.0,514.0,457.0,618.0,417.0
524,571.0,513.0,458.0,618.0,415.0
525,572.0,514.0,457.0,618.0,415.0
526,571.0,513.0,458.0,618.0,415.0
527,570.0,514.0,457.0,619.0,415.0
528,570.0,513.0,457.0,618.0,415.0
529,571.0,513.0,457.0,619.0,415.0
530,570.0,513.0,457.0,618.0,415.0
531,572.0,513.0,459.0,618.0,415.0
532,570.0,513.0,457.0,619.0,415.0
533,570.0,514.0,457.0,619.0,416.0
534,570.0,513.0,457.0,619.0,419.0
535,572.0,514.0,458.0,618.0,416.0
536,574.0,513.0,457.0,620.0,415.0
537,572.0,513.0,457.0,619.0,415.0
538,570.0,513.0,457.0,618.0,415.0
539,571.0,513.0,458.0,618.0,415.0
540,570.0,513.0,457.0,622.0,415.0
541,571.0,514.0,458.0,618.0,415.0
542,571.0,513.0,458.0,618.0,415.0
543,570.0,514.0,457.0,619.0,415.0
544,570.0,513.0,457.0,620.0,415.0
545,570.0,514.0,457.0,618.0,415.0
546,570.0,513.0,458.0,619.0,416.0
547,570.0,513.0,457.0,619.0,415.0
548,571.0,513.0,457.0,618.0,415.0
549,571.0,514.0,457.0,622.0,415.0
550,570.0,514.0,458.0,618.0,415.0
551,570.0,514.0,457.0,619.0,415.0
552,570.0,513.0,457.0,618.0,417.0
553,570.0,513.0,457.0,618.0,416.0
554,570.0,514.0,457.0,618.0,415.0
555,570.0,514.0,458.0,618.0,415.0
556,570.0,514.0,457.0,618.0,415.0
557,570.0,514.0,457.0,618.0,415.0
558,572.0,513.0,458.0,618.0,415.0
559,571.0,515.0,458.0,618.0,415.0
560,570.0,513.0,457.0,620.0,415.0
561,571.0,513.0,457.0,618.0,415.0
562,571.0,513.0,457.0,620.0,416.0
563,571.0,514.0,457.0,618.0,415.0
564,573.0,514.0,457.0,620.0,415.0
565,570.0,513.0,457.0,618.0,415.0
566,570.0,514.0,457.0,620.0,416.0
567,571.0,514.0,459.0,618.0,416.0
568,571.0,513.0,457.0,618.0,415.0
569,572.0,513.0,457.0,618.0,415.0
570,570.0,513.0,458.0,619.0,415.0
571,570.0,513.0,457.0,618.0,416.0
572,571.0,514.0,458.0,619.0,415.0
573,570.0,513.0,457.0,618.0,415.0
574,570.0,513.0,457.0,619.0,416.0
