,DeployT,Timeg
501,2015-01-01 12:00:00,104
502,2015-01-01 12:00:00,505
503,2015-01-01 12:00:00,127
504,2015-01-01 12:00:00,126
505,2015-01-01 12:00:00,0
506,2015-01-01 12:00:00,154
507,2015-01-01 12:00:00,0
508,2015-01-01 12:00:00,103
509,2015-01-01 12:00:00,141
510,2015-01-01 12:00:00,121
511,2015-01-01 12:00:00,96
512,2015-01-01 12:00:00,161
513,2015-01-01 12:00:00,220
514,2015-01-01 12:00:00,83
515,2015-01-01 12:00:00,116
516,2015-01-01 12:00:00,621
517,2015-01-01 12:00:00,181
518,2015-01-01 12:00:00,110
519,2015-01-01 12:00:00,82
520,2015-01-01 12:00:00,91
521,2015-01-01 12:00:00,310
522,2015-01-01 12:00:00,250
523,2015-01-01 12:00:00,103
524,2015-01-01 12:00:00,89
525,2015-01-01 12:00:00,98
526,2015-01-01 12:00:00,217
527,2015-01-01 12:00:00,207
528,2015-01-01 12:00:00,187
529,2015-01-01 12:00:00,53
530,2015-01-01 12:00:00,136
531,2015-01-01 12:00:00,127
532,2015-01-01 12:00:00,430
533,2015-01-01 12:00:00,260
534,2015-01-01 12:00:00,208
535,2015-01-01 12:00:00,131
536,2015-01-01 12:00:00,74
537,2015-01-01 12:00:00,391
538,2015-01-01 12:00:00,52
539,2015-01-01 12:00:00,83
540,2015-01-01 12:00:00,203
541,2015-01-01 12:00:00,145
542,2015-01-01 12:00:00,80
543,2015-01-01 12:00:00,84
544,2015-01-01 12:00:00,108
545,2015-01-01 12:00:00,36
546,2015-01-01 12:00:00,179
547,2015-01-01 12:00:00,439
548,2015-01-01 12:00:00,54
549,2015-01-01 12:00:00,93
550,2015-01-01 12:00:00,48
551,2015-01-01 12:00:00,599
552,2015-01-01 12:00:00,100
553,2015-01-01 12:00:00,108
554,2015-01-01 12:00:00,94
555,2015-01-01 12:00:00,55
556,2015-01-01 12:00:00,193
557,2015-01-01 12:00:00,52
558,2015-01-01 12:00:00,127
559,2015-01-01 12:00:00,190
560,2015-01-01 12:00:00,106
561,2015-01-01 12:00:00,69
562,2015-01-01 12:00:00,52
563,2015-01-01 12:00:00,0
564,2015-01-01 12:00:00,132
565,2015-01-01 12:00:00,636
566,2015-01-01 12:00:00,54
567,2015-01-01 12:00:00,30
568,2015-01-01 12:00:00,0
569,2015-01-01 12:00:00,424
570,2015-01-01 12:00:00,115
571,2015-01-01 12:00:00,94
572,2015-01-01 12:00:00,87
573,2015-01-01 12:00:00,104
574,2015-01-01 12:00:00,56
575,2015-01-01 12:00:00,52
576,2015-01-01 12:00:00,209
577,2015-01-01 12:00:00,94
578,2015-01-01 12:00:00,249
579,2015-01-01 12:00:00,58
580,2015-01-01 12:00:00,74
581,2015-01-01 12:00:00,111
582,2015-01-01 12:00:00,52
583,2015-01-01 12:00:00,118
584,2015-01-01 12:00:00,106
585,2015-01-01 12:00:00,55
586,2015-01-01 12:00:00,373
587,2015-01-01 12:00:00,130
588,2015-01-01 12:00:00,414
589,2015-01-01 12:00:00,93
590,2015-01-01 12:00:00,289
591,2015-01-01 12:00:00,114
592,2015-01-01 12:00:00,55
593,2015-01-01 12:00:00,108
594,2015-01-01 12:00:00,87
595,2015-01-01 12:00:00,409
596,2015-01-01 12:00:00,48
597,2015-01-01 12:00:00,177
598,2015-01-01 12:00:00,100
599,2015-01-01 12:00:00,421
600,2015-01-01 12:00:00,102
601,2015-01-01 12:00:00,99
602,2015-01-01 12:00:00,105
603,2015-01-01 12:00:00,191
604,2015-01-01 12:00:00,86
605,2015-01-01 12:00:00,80
606,2015-01-01 12:00:00,232
607,2015-01-01 12:00:00,71
608,2015-01-01 12:00:00,65
609,2015-01-01 12:00:00,111
610,2015-01-01 12:00:00,39
611,2015-01-01 12:00:00,0
612,2015-01-01 12:00:00,129
613,2015-01-01 12:00:00,51
614,2015-01-01 12:00:00,65
615,2015-01-01 12:00:00,182
616,2015-01-01 12:00:00,658
617,2015-01-01 12:00:00,82
618,2015-01-01 12:00:00,99
619,2015-01-01 12:00:00,229
620,2015-01-01 12:00:00,116
621,2015-01-01 12:00:00,0
622,2015-01-01 12:00:00,106
623,2015-01-01 12:00:00,207
624,2015-01-01 12:00:00,140
625,2015-01-01 12:00:00,155
626,2015-01-01 12:00:00,60
627,2015-01-01 12:00:00,36
628,2015-01-01 12:00:00,129
629,2015-01-01 12:00:00,51
630,2015-01-01 12:00:00,175
631,2015-01-01 12:00:00,110
632,2015-01-01 12:00:00,112
