,b1,b2,b3,b4,b5
554,454.0,418.0,392.0,469.0,366.0
555,453.0,417.0,392.0,467.0,366.0
556,453.0,418.0,393.0,466.0,367.0
557,454.0,417.0,393.0,467.0,366.0
558,455.0,417.0,392.0,467.0,366.0
559,453.0,418.0,393.0,466.0,367.0
560,455.0,417.0,393.0,467.0,366.0
561,455.0,417.0,392.0,467.0,366.0
562,454.0,417.0,393.0,466.0,367.0
563,453.0,417.0,393.0,467.0,366.0
564,453.0,419.0,393.0,466.0,366.0
565,454.0,417.0,392.0,466.0,366.0
566,453.0,417.0,393.0,469.0,366.0
567,453.0,417.0,393.0,466.0,366.0
568,453.0,418.0,393.0,466.0,366.0
569,453.0,417.0,392.0,468.0,366.0
570,453.0,417.0,393.0,467.0,366.0
571,454.0,417.0,392.0,469.0,366.0
572,453.0,417.0,392.0,468.0,366.0
573,453.0,418.0,393.0,466.0,367.0
574,453.0,418.0,392.0,467.0,366.0
575,453.0,417.0,394.0,466.0,367.0
576,453.0,417.0,392.0,467.0,366.0
577,454.0,417.0,392.0,467.0,367.0
578,453.0,417.0,392.0,466.0,366.0
579,453.0,417.0,392.0,466.0,366.0
580,454.0,418.0,392.0,466.0,366.0
581,453.0,417.0,392.0,466.0,366.0
582,455.0,417.0,392.0,467.0,366.0
583,453.0,417.0,392.0,466.0,366.0
584,453.0,419.0,392.0,466.0,366.0
585,453.0,418.0,392.0,466.0,366.0
586,454.0,417.0,392.0,467.0,366.0
587,455.0,417.0,392.0,467.0,366.0
588,453.0,417.0,392.0,466.0,366.0
589,453.0,417.0,392.0,466.0,366.0
590,453.0,417.0,392.0,467.0,366.0
591,453.0,417.0,392.0,467.0,367.0
592,454.0,417.0,393.0,466.0,366.0
593,453.0,417.0,392.0,469.0,367.0
594,453.0,417.0,392.0,466.0,367.0
595,453.0,418.0,392.0,466.0,367.0
596,453.0,417.0,393.0,469.0,366.0
597,453.0,417.0,392.0,466.0,366.0
598,453.0,418.0,392.0,466.0,366.0
599,453.0,417.0,392.0,466.0,366.0
600,453.0,417.0,392.0,466.0,366.0
601,454.0,417.0,392.0,466.0,366.0
602,453.0,417.0,392.0,466.0,366.0
603,453.0,417.0,392.0,466.0,366.0
604,453.0,417.0,392.0,466.0,366.0
605,453.0,418.0,392.0,466.0,367.0
606,453.0,417.0,392.0,466.0,366.0
607,454.0,417.0,392.0,466.0,366.0
608,454.0,418.0,392.0,467.0,366.0
609,453.0,417.0,392.0,466.0,366.0
610,453.0,418.0,392.0,467.0,367.0
611,454.0,418.0,392.0,466.0,366.0
612,453.0,417.0,392.0,467.0,366.0
613,453.0,417.0,392.0,466.0,366.0
614,453.0,417.0,392.0,466.0,366.0
615,454.0,417.0,392.0,466.0,366.0
616,453.0,417.0,392.0,466.0,366.0
617,454.0,417.0,392.0,467.0,366.0
618,453.0,417.0,392.0,466.0,366.0
619,453.0,417.0,393.0,466.0,366.0
620,453.0,417.0,392.0,466.0,366.0
621,453.0,417.0,392.0,466.0,366.0
622,453.0,417.0,392.0,466.0,366.0
623,453.0,417.0,392.0,466.0,366.0
624,453.0,417.0,392.0,466.0,366.0
625,453.0,417.0,392.0,467.0,366.0
626,453.0,417.0,394.0,466.0,366.0
627,453.0,417.0,392.0,466.0,366.0
628,453.0,417.0,392.0,467.0,366.0
629,453.0,417.0,392.0,466.0,366.0
630,454.0,417.0,392.0,466.0,366.0
631,453.0,417.0,392.0,466.0,366.0
632,453.0,418.0,393.0,466.0,366.0
