,IN,Phy,ON,HBac,Zoo
2023-08-12,57851815433256.63,634028976920.0391,1122438609970.3877,667475171054.1858,1987625064102.3376
2023-08-13,57909103278729.7,642538168616.0343,1115702058335.1694,663734181111.042,1975095619421.704
2023-08-14,57955382914637.2,652709593617.8766,1108957024644.7397,660748314838.529,1965708781589.3953
2023-08-15,57997390179040.73,661723285764.6863,1103125810719.6675,658113075663.1595,1961084757677.9194
2023-08-16,58011058898630.7,671786533911.2047,1100154074674.5293,656498688651.0955,1956370947220.1667
2023-08-17,58011988886076.5,679263360034.0674,1097837555854.6113,655555414781.3496,1950960029897.8604
2023-08-18,58037045880494.68,685062452728.1006,1093937843839.5645,654380275048.3115,1941330071148.6602
2023-08-19,58057126286175.36,690358386456.5897,1089621595335.4435,653425541703.3713,1934587392137.6194
2023-08-20,58070652273267.734,704103517003.2667,1086213829260.2963,652466280966.8206,1919200066907.6882
2023-08-21,58139025124336.79,715775575850.5511,1083625246562.6785,650172209133.7644,1899836993669.5708
2023-08-22,58215742130657.83,726655121851.6769,1081501680441.0352,648052286424.698,1877698605737.1714
2023-08-23,58263494877311.414,741569143502.2477,1084147798241.856,646990090895.3961,1856104029679.5547
2023-08-24,58312115251239.29,750427814780.8281,1089528309956.5679,646278429064.1534,1838019915475.6301
2023-08-25,58364421678001.336,767165226036.6616,1095843146660.9802,645873328105.9033,1818677773434.3542
2023-08-26,58465912691129.414,756019481648.3623,1100715636739.2422,645628569443.2814,1812529640644.8518
2023-08-27,58562547493579.66,754971007815.9607,1101948296056.1694,645388030243.3905,1806454393189.625
2023-08-28,58621402442816.03,750273327889.2933,1102247218602.4067,646703605961.1117,1810546521799.2668
2023-08-29,58663229308397.945,731169587130.1482,1100238297198.534,649092563708.3037,1824920705264.6414
2023-08-30,58689131246074.35,686061089093.845,1095050794245.6438,651704024338.1924,1852803489956.4023
2023-08-31,58706962105360.414,666420928733.3728,1084040037773.9012,652824215762.4817,1868006761737.9023
2023-09-01,58771756938753.08,623704654247.2737,1068651497502.07,652550030089.7719,1890468881232.98
2023-09-02,58817874102258.664,618733376153.1272,1050155480336.9637,650940635783.0835,1894424388155.3745
2023-09-03,58862192006515.23,617870876555.3159,1034469545226.6742,648703391104.5013,1895741196708.8848
2023-09-04,58921172093633.82,610363574682.3567,1021651871350.9941,645653244180.4679,1895417164673.8955
2023-09-05,58968219014074.73,601722551085.112,1010910539830.8649,642509622194.254,1892619782102.8794
2023-09-06,59022221431696.38,600810242298.1931,1002227451913.2445,638606384185.767,1882116847034.523
2023-09-07,59079947484089.14,600788467647.1727,995771894934.1692,634467759164.7686,1870090670489.2422
2023-09-08,59130969105527.01,599068627483.6973,990393682893.4993,630460010972.0739,1858440769313.8064
2023-09-09,59187117366654.82,597975615124.8943,984808648360.603,626484286185.4388,1845689870158.744
2023-09-10,59238722345626.24,597503706308.9143,979745734798.7661,622719962943.495,1834989794956.565
2023-09-11,59297958994021.484,586229716057.8717,975874938458.9631,618990964330.0525,1832090028565.6895
2023-09-12,59353705919639.8,553229473857.7578,970870099429.4856,615812621074.7928,1844597509225.7268
2023-09-13,59411372087896.04,510605159922.3508,963984101032.7472,612834610206.243,1866804955380.772
2023-09-14,59450837501779.805,503710775385.7606,952634820322.0619,609779727863.0438,1869294291217.3357
2023-09-15,59503572645778.21,504662372030.6039,940820819047.2922,606435353381.7141,1865804398598.271
2023-09-16,59579711607714.89,505083709645.6516,930110836479.9697,602275801148.4387,1860591956855.9531
2023-09-17,59669713725983.79,501198676703.31616,920772593831.9775,597506920946.2435,1858188325390.3398
2023-09-18,59752467771857.32,490438726995.8701,913752780586.2236,592893750790.8224,1861084965550.2146
2023-09-19,59822186502834.234,485765746112.0649,907344052429.2031,588529118171.5018,1861284308641.4326
2023-09-20,59910788883759.414,473668646135.40625,902015239273.6588,583735711172.4541,1865467738424.1816
2023-09-21,59994864166015.65,465064354131.8501,896137810168.2958,578909314692.4078,1867392480200.2275
2023-09-22,60083009415962.86,466862128833.8656,891133583166.8423,573717312818.23,1860578023893.9775
2023-09-23,60161245541836.26,468369025819.8054,888048854113.7462,568998863695.3597,1853554874378.4417
2023-09-24,60264866946522.62,432446966201.5757,885440915194.2382,564524717579.6975,1873158574608.652
2023-09-25,60283545447023.76,410963142637.2674,879555038497.5558,560448096131.8585,1889164730263.1138
2023-09-26,60203765747462.33,365905923776.5762,874054516310.1757,556532106554.2239,1945180489221.0674
2023-09-27,60100475474577.62,341297115541.5992,866410409113.0227,552951339991.8026,1988459319703.153
2023-09-28,60075847797374.21,321611666982.3196,855984511305.8496,548874435520.7885,2017741680291.8071
2023-09-29,60100384200917.64,316929220903.32495,845064865977.8745,544908044203.26636,2031559930639.9326
2023-09-30,60185104996135.89,320306968294.8786,834704626570.5698,540711298207.6519,2031352114703.6245
2023-10-01,60307546593128.586,322299383532.581,824695085070.3281,536671784455.98267,2029962133967.3018
2023-10-02,60435405900139.164,322886770281.7775,815618522648.2845,532421050128.2388,2028821453179.2766
2023-10-03,60596232684226.09,290834828747.1963,807614136569.7422,527962245854.9051,2068483370055.955
2023-10-04,60725324323172.12,286998750156.5537,798465326369.4183,523843475656.14197,2072984943597.005
2023-10-05,60838513175024.36,283415155004.3197,791724802478.8833,519955696646.9645,2075084453395.2102
2023-10-06,60960234089385.84,287582174450.4649,785270415651.0923,516074494850.6508,2062537665242.901
2023-10-07,61089262117723.52,294791001936.9059,779943023463.4784,511528682477.9025,2041597751269.5774
2023-10-08,61176621866384.195,303380456752.36633,777276958540.25,507217233904.7574,2018639151892.1218
2023-10-09,61193047671329.164,309452714975.1787,777716823424.569,504007630403.9831,2002912728404.504
2023-10-10,61169402410732.07,286340670952.48035,780027254805.5001,502536899910.94116,2034327853316.436
2023-10-11,61099792074458.914,266389864003.37625,779767840010.6582,501374364017.619,2072904874893.8545
2023-10-12,61083034741230.13,267212486038.4223,777567110224.4463,501293012801.85645,2078299994579.8042
2023-10-13,61134954375589.08,280946185938.86237,774422806085.1244,501642696091.84656,2058337742504.6912
2023-10-14,61132737968420.01,287892726464.0005,772803326265.4581,501182853260.90375,2048497322545.7969
2023-10-15,61018119404285.59,282822088033.8737,773070913151.6066,501152709656.2976,2066974516972.33
2023-10-16,60920779057946.5,281700943056.2401,772784417356.0776,501253733279.91766,2082157180584.0342
