,Z2,Z1
2024-05-09,2431514.6140438817,1145237.556045607
2024-05-10,2590236.8594593094,1229829.5144050089
2024-05-11,2755814.0480335536,1329538.4347404845
2024-05-12,2916443.104858427,1440334.8476164523
2024-05-13,3040257.654466622,1541593.0651119235
2024-05-14,3164914.8916595452,1641548.184856337
2024-05-15,3335755.1169824945,1784616.6371604947
2024-05-16,3465881.7167343213,1927583.0618130234
2024-05-17,3494032.448966278,2013992.5987439463
2024-05-18,3617040.918151324,2157836.53267031
2024-05-19,3700327.879298038,2255274.638498421
2024-05-20,3861396.476585382,2406428.528462435
2024-05-21,3928859.0772659853,2534267.7747588633
2024-05-22,3740876.9279311066,2416601.5360213304
2024-05-23,3824196.13733551,2426957.479337762
2024-05-24,3865199.154853877,2433686.8057850576
2024-05-25,3687085.813784946,2240969.657309196
2024-05-26,3606118.8136399337,2098294.6373522803
2024-05-27,3364967.9130298323,1810747.0285915574
2024-05-28,3170890.9188385317,1574513.6839454602
2024-05-29,2969807.3970269323,1364333.9179731088
2024-05-30,2945021.027321464,1311314.7110258914
2024-05-31,3037184.353240713,1357121.4446545497
2024-06-01,3074876.9935509637,1397774.734411133
2024-06-02,3021991.21758356,1377591.2283486773
2024-06-03,2735449.7414448457,1214363.01816196
2024-06-04,2579718.6050309464,1106501.0858400557
2024-06-05,2553398.6469200253,1094253.880162544
2024-06-06,2707622.71379438,1159762.3925304497
2024-06-07,2926190.3477070974,1255645.176338182
2024-06-08,3153605.752368109,1387804.6585907135
2024-06-09,3286074.609542547,1521110.7911986837
2024-06-10,3391213.9368089866,1662186.9028833273
2024-06-11,3460057.2474910836,1791102.646898382
2024-06-12,3497525.5198453856,1889441.7911937989
2024-06-13,3629234.6840246785,2061537.4869331196
2024-06-14,3726626.9728566655,2228284.6488622
2024-06-15,3756980.9416113845,2324650.0552800605
2024-06-16,3765104.0094640767,2397864.841357137
2024-06-17,3730165.392817052,2430109.255923398
2024-06-18,3725422.255066335,2467190.739044
2024-06-19,3749628.5336515307,2536306.5596412607
2024-06-20,3777890.235910964,2613760.6008001002
2024-06-21,3790334.535398528,2673545.4932872225
2024-06-22,3764527.5926191253,2703522.637685182
2024-06-23,3711036.430428284,2684135.8836527
2024-06-24,3603716.0285173566,2597340.691784692
2024-06-25,3581107.9686284275,2577839.0410080897
2024-06-26,3519597.094725811,2529211.759750679
2024-06-27,3307999.691923094,2318165.5175805646
2024-06-28,3179156.1034765607,2177983.9002011954
2024-06-29,3158271.767985545,2135980.2071561357
2024-06-30,3084022.3955520154,2046591.2699815382
2024-07-01,3090318.324348094,2025034.7815443263
2024-07-02,3138740.053300728,2053631.960532274
2024-07-03,3178265.0426124753,2085463.7704367717
2024-07-04,3213077.7416442353,2131110.42887
2024-07-05,3260545.9159309347,2184840.556311619
2024-07-06,3326572.4160836693,2240926.374143047
2024-07-07,3416026.1769527555,2309688.957376749
2024-07-08,3513251.4276782013,2397779.6346706348
2024-07-09,3601606.934482887,2495437.616117015
2024-07-10,3671907.788352431,2602469.695274262
2024-07-11,3736000.334004075,2711269.6658182354
2024-07-12,3835937.0043915636,2828813.5683189174
2024-07-13,3938779.9004171817,2956521.5261716098
2024-07-14,4045908.4261770668,3094516.164250238
2024-07-15,4132403.6564318617,3248606.998177929
2024-07-16,4163581.2483050306,3389949.9511928395
2024-07-17,4141875.3891965635,3488335.2343658116
2024-07-18,4073995.4897687575,3498258.580361756
2024-07-19,4015242.0121966465,3450660.634537408
2024-07-20,3960175.0298953424,3369515.3081337465
2024-07-21,3872959.460779267,3242353.018066473
2024-07-22,3727201.4444726147,3049005.3306384385
2024-07-23,3612532.8148818053,2888239.9607801307
2024-07-24,3514344.21575958,2759949.9850421017
2024-07-25,3410365.0280378745,2630582.9814925925
2024-07-26,3344585.332351366,2545714.4943389706
2024-07-27,3303258.2099947287,2495423.252925939
2024-07-28,3275179.6943188463,2453093.711068444
2024-07-29,3206143.8418410923,2380315.354093164
2024-07-30,2924028.0083900345,2120276.750276946
2024-07-31,2725434.925032541,1916298.3762172724
2024-08-01,2652401.544276652,1824229.9776332816
2024-08-02,2599872.196089414,1763428.9440802177
2024-08-03,2541438.412544201,1706631.4348063818
2024-08-04,2492996.9728755597,1658027.3903558059
2024-08-05,2452281.471955186,1616915.0548275458
2024-08-06,2413335.8360096565,1581022.9373585042
