,IN,Phy,ON,Zoo
2024-04-06,66797115884084.055,926891142557.8008,1989679908441.5068,1181370506142.8154
2024-04-07,66837864951967.086,859824228325.7847,2012941510934.5928,1198192562366.4487
2024-04-08,66865674488218.805,799338527530.0033,2027088698577.1357,1207385073199.3862
2024-04-09,66943201952086.61,697608828051.3073,2028113480179.1807,1216622424607.9458
2024-04-10,66920716766571.61,724636166673.0293,2022013497691.4463,1200646213651.1704
2024-04-11,66928497682642.11,724974056850.3745,2009718574823.207,1196800164320.3442
2024-04-12,67038445156927.16,665654895389.5427,1988081957987.2144,1203786361292.3555
2024-04-13,67056688551921.984,718416772547.7969,1965932820106.5005,1183440625267.9849
2024-04-14,67033372468796.47,792071602427.4534,1950223410573.5747,1167638848053.3572
2024-04-15,66981699603537.08,868756093282.7466,1945227285031.787,1159848848148.0562
2024-04-16,66930777345392.13,915637945312.5421,1949796880062.7234,1166774434807.064
2024-04-17,66814284281420.18,998217711136.7749,1963067385107.794,1171705951203.3743
2024-04-18,66671598160645.35,1096233967429.6903,1985864793363.7388,1180184235329.9458
2024-04-19,66517211285922.88,1194271825842.1162,2016626709683.3242,1194393237568.834
2024-04-20,66377251010659.53,1251422767993.1558,2057388108757.5334,1220197015599.4946
2024-04-21,66360255348193.28,1169840452029.9143,2102671593754.0947,1262430187646.431
2024-04-22,66304441262019.17,1139756976048.46,2146592449727.7212,1294244232003.962
2024-04-23,66234906260641.67,1133292489793.6477,2187879963403.0166,1323721729901.6611
2024-04-24,66217995693229.7,1086240718230.6067,2226771922066.0327,1356315602488.7144
2024-04-25,66276422163002.336,956332431889.4543,2259524080984.6895,1396803220549.846
2024-04-26,66407949198397.266,783980207206.5897,2272781848332.3657,1439364036806.4893
2024-04-27,66482960404319.61,703812518421.5892,2268884491924.0586,1461286381432.67
2024-04-28,66608865550437.76,608022343325.6152,2246367206524.393,1495080672914.6562
2024-04-29,66703718258981.305,573070217891.1575,2209136201859.9854,1510683199098.782
2024-04-30,66747381503255.97,597593363807.227,2168231741339.6233,1502510684655.1433
2024-05-01,66753591499420.47,647135336013.9741,2133716352236.8276,1482177860575.7407
