,Phy,HBac
2024-04-16,3591147.968747763,1569326.4373678733
2024-04-17,4186462.805422775,1594422.8284551518
2024-04-18,4630432.459288719,1617836.248343127
2024-04-19,4842941.911200788,1638376.3556765763
2024-04-20,4000203.021555187,1657473.5083648788
2024-04-21,3249921.8225825317,1673898.5970531462
2024-04-22,4090910.1317473343,1690973.8452461956
2024-04-23,4092104.3629945572,1708571.3166445077
2024-04-24,3062611.5168601726,1727185.1555762372
2024-04-25,1840309.1029853693,1744784.8160755145
2024-04-26,1779151.4111173877,1760352.4566735458
2024-04-27,1626378.9608650564,1780282.3704120996
2024-04-28,1435547.5616493295,1800199.9821068712
2024-04-29,2233054.5329449438,1823613.607603102
2024-04-30,2471651.286249896,1853704.5118078864
2024-05-01,3054552.9371910687,1889106.9436998134
2024-05-02,3280111.22080134,1927047.905523689
2024-05-03,3382515.532107507,1968041.074799847
2024-05-04,2132900.802188746,2006482.6575098988
2024-05-05,1567569.308183454,2043662.2932422631
2024-05-06,1614159.3422863348,2076871.270769026
2024-05-07,2490446.1778159114,2112288.57400451
2024-05-08,2880416.049158642,2153681.055392868
2024-05-09,3111854.7758329646,2198115.13264472
2024-05-10,3357861.44036461,2245412.0672686533
2024-05-11,3561780.260190799,2294478.3156418856
2024-05-12,3761913.547491859,2345586.9260580973
2024-05-13,3538090.0562644196,2396089.8532390646
2024-05-14,4166254.336768699,2446108.2113821944
2024-05-15,4376751.340257958,2495838.9157384546
2024-05-16,3514660.0672094626,2542036.6511106836
2024-05-17,4389837.950491691,2579034.311593921
2024-05-18,4032012.5332031683,2618362.1576394932
2024-05-19,4827644.709211926,2653562.989705737
2024-05-20,5083240.695556885,2694883.1821360104
2024-05-21,2843544.3626077357,2736323.9666499486
2024-05-22,3713099.69852211,2763662.467004873
2024-05-23,4704890.648762519,2808482.844118235
2024-05-24,2738478.5945219602,2854660.092645388
2024-05-25,3208664.0347812907,2888578.640011973
2024-05-26,2122939.9200915955,2928340.053944602
2024-05-27,2158922.771817605,2956725.010445895
2024-05-28,1831663.5769844404,2984165.9091099887
2024-05-29,2467487.137281119,3009208.8079763693
2024-05-30,2986342.9563585985,3042261.1903230213
2024-05-31,3366910.289834628,3082191.144747186
2024-06-01,2783065.223159868,3120102.0686865957
2024-06-02,2021016.1897258586,3150203.6007957025
2024-06-03,1834008.609298848,3162317.0490918574
2024-06-04,2074809.5377656338,3176339.131693313
2024-06-05,2947909.141784954,3192467.27924424
2024-06-06,3430351.126002712,3214531.6360338633
2024-06-07,3814663.0060788775,3238004.133972668
2024-06-08,3968225.0197359584,3263702.7382437536
2024-06-09,3766231.075257444,3291431.87921295
2024-06-10,3750009.9160240637,3319497.9966316703
2024-06-11,3645903.2003005976,3342954.632432681
2024-06-12,3964541.1547692744,3359202.232727201
2024-06-13,4373197.404421931,3377175.27162557
2024-06-14,3922324.904523962,3389053.3272940055
2024-06-15,3834577.6647787103,3388013.370555356
2024-06-16,3624613.5140103577,3379172.5971757076
2024-06-17,3662886.657619958,3358569.235337334
2024-06-18,3996894.021871412,3336735.4545115195
2024-06-19,4315689.8874496855,3311595.865630164
2024-06-20,4346096.090554343,3283669.4407454403
2024-06-21,4284341.5020859465,3250812.4345937083
2024-06-22,3810962.5252878573,3216446.968024254
2024-06-23,3401217.518996887,3186000.564361225
2024-06-24,3634013.5420429064,3155469.0214105686
2024-06-25,3892445.2011945723,3133397.2052242523
2024-06-26,2869495.8399333786,3107169.670030994
2024-06-27,2538456.152754426,3074640.096297223
2024-06-28,3132595.6835617707,3043952.7809753683
