,Z2,Z1,Z1_Hbac
2023-04-26,1703163.2052940219,1270949.6188822119,575702.617921286
2023-04-27,1835383.2203120745,1336774.7955777831,587530.2504604198
2023-04-28,2072600.965862322,1484046.9244239028,595431.7499155037
2023-04-29,2331867.46943323,1659497.3347429559,604041.7547063663
2023-04-30,2558215.3571034516,1852013.5660148612,616224.6426891106
2023-05-01,2646568.8102603187,1982115.717146772,635790.955062464
2023-05-02,2764236.0615087673,2132216.8053664025,652271.8929741952
2023-05-03,2919548.0050006397,2320554.7753785304,666590.8937074253
2023-05-04,3035802.4989444194,2490558.397246645,684979.5460174571
2023-05-05,3088765.4597723414,2576471.310209073,708924.888334223
2023-05-06,3003322.5961076543,2460753.049215818,737882.715981079
2023-05-07,3015607.4554956704,2392721.2926483,749271.3708413214
2023-05-08,3065928.0116558103,2358063.914242277,756819.9758342535
2023-05-09,3100139.79962053,2312498.568331598,766319.1644797298
2023-05-10,3173706.587772949,2314487.4913001005,773700.6197287507
2023-05-11,3259525.4943435993,2342324.1648437837,782757.8816809057
2023-05-12,3349482.321438986,2382578.2350435155,793987.8529321288
2023-05-13,3442548.662286121,2437562.51087436,807249.1760794342
2023-05-14,3536826.6266905414,2500690.9551682565,819696.1956212525
2023-05-15,3628148.017826049,2565617.1537182676,832133.2399010898
2023-05-16,3707430.384797032,2623135.681296585,844979.7881686194
2023-05-17,3780653.236045114,2680225.234844836,858913.1094450396
2023-05-18,3856762.559719526,2737288.8657205296,874027.7144941835
2023-05-19,3920944.8532357723,2782645.1113208737,890161.2989513425
2023-05-20,3973485.311493394,2820778.257709944,907464.7671824612
2023-05-21,3986794.40064424,2819264.5744504184,925682.9623813186
2023-05-22,3944967.4068408217,2762432.117926715,945494.7196232602
2023-05-23,3903715.1855469802,2687894.057647369,960336.8117479263
2023-05-24,3890784.394557371,2629624.4295076225,970717.3444619989
2023-05-25,3918953.424598433,2623834.735109373,976909.317897905
2023-05-26,3952015.4343242534,2647370.987852644,985524.2854068405
2023-05-27,3962582.557495673,2664980.4848160585,996261.5544452622
2023-05-28,3979536.314683496,2676880.0481306417,1005792.1589698006
2023-05-29,4005392.713381704,2703230.453108142,1015069.7626756952
2023-05-30,4003664.886608393,2721238.448315,1022653.3951602844
2023-05-31,4003179.4685471784,2749787.9409219855,1028699.7819422843
2023-06-01,3989941.780081433,2779256.18894471,1036257.7069065117
2023-06-02,3982097.878676704,2807578.248922748,1043840.4995942198
2023-06-03,3953727.5513415122,2811485.0276361126,1052967.6133895726
2023-06-04,3927816.067505085,2801228.045262155,1060260.4745352336
2023-06-05,3930349.09894966,2808929.2075752746,1065085.9303277447
2023-06-06,3957074.086689342,2827590.098362563,1070216.4775204025
2023-06-07,3984193.1711067315,2856636.824352986,1076346.6464808662
2023-06-08,4002900.706269988,2902152.950744698,1087855.0054958852
2023-06-09,3985676.4327881043,2933460.8540732507,1107181.0663800598
2023-06-10,3747864.8610673235,2746582.0587572292,1143780.8043664903
2023-06-11,3536935.0997325806,2544013.9573610267,1155191.0055885613
2023-06-12,3526594.012293515,2535613.976613061,1141857.4388797712
2023-06-13,3539214.694154455,2557047.243221523,1131383.7495020095
2023-06-14,3491633.417640674,2535266.2999851666,1125584.7181191288
2023-06-15,3532635.159610766,2577742.7952581923,1116104.9710368817
2023-06-16,3527298.056587223,2601436.998613064,1114589.3501829167
2023-06-17,3414514.024124285,2542700.2592735454,1121235.7796203915
2023-06-18,3393494.2900522836,2543411.5264357314,1119102.3925353626
2023-06-19,3366280.9593013083,2549277.827173946,1122411.7109673813
2023-06-20,3242914.5308596725,2473519.6438631425,1136048.679353981
2023-06-21,3219241.2110524727,2474316.45610137,1138853.1932637556
2023-06-22,,,
2023-06-23,3292959.312234235,2613166.903829889,1138316.8395852393
2023-06-24,3329119.5048732045,2684404.053656986,1138392.6956059937
2023-06-25,3378895.9779416425,2761132.4904836575,1136880.3141825155
2023-06-26,3431003.3369941106,2834290.3465371374,1134217.6490575967
2023-06-27,3463668.503276124,2892928.4599977033,1129596.527569434
2023-06-28,3479148.2755402597,2939643.8876260007,1122119.7747924188
2023-06-29,3492485.8809227557,2987322.240828624,1112340.203134641
2023-06-30,3490868.9852380166,3019262.10868227,1102192.4802646004
2023-07-01,3484328.6598287374,3049332.161993835,1091421.9405181776
2023-07-02,3481290.177587559,3077196.0873078248,1082082.4833147936
2023-07-03,3487779.0662349625,3107307.7017066837,1073664.157701499
2023-07-04,3496810.4191627763,3137437.4279699763,1068439.1553721474
2023-07-05,3499442.6886239494,3164587.049945673,1065176.5068933493
2023-07-06,3509025.1383405565,3187964.5915179485,1063489.8730913412
2023-07-07,3509185.085229459,3194961.9600115074,1062240.6387844835
2023-07-08,3496338.626117122,3196463.729817256,1062942.2046103906
2023-07-09,3492162.0870246803,3212943.2897835495,1064483.8286239163
2023-07-10,3495693.5843680184,3232618.67111874,1066277.9132627337
2023-07-11,3504016.1734141763,3238644.37156067,1066007.3230720107
2023-07-12,3522408.5876463302,3245184.6824802672,1063132.7618124234
2023-07-13,3525022.3263537395,3240827.4287002026,1058319.7970094557
2023-07-14,3530806.7349046576,3245953.2210407597,1052840.318675439
2023-07-15,3527427.687021147,3241145.6010255506,1048369.2415140686
2023-07-16,3498237.98649886,3211944.9280205863,1045451.7582508313
2023-07-17,3466316.2207060177,3174796.4150339365,1043332.2369474829
2023-07-18,3438835.1260303603,3139197.734114911,1042911.5099838999
2023-07-19,3418585.076226025,3126302.427553747,1041789.5496931043
2023-07-20,3410139.4626427786,3126041.337661466,1041080.7181412511
2023-07-21,3388990.5277705253,3116461.2601547064,1041625.540002407
2023-07-22,3362406.3007150944,3104038.4703574833,1041942.7141095053
2023-07-23,3344266.080691545,3088232.8783903355,1040309.2919320653
2023-07-24,3295834.0411515124,3027725.6114636995,1040678.2790626468
2023-07-25,3117301.9261420136,2864120.4997922992,1045656.4303969289
2023-07-26,3035073.803955838,2776260.0645782407,1032366.7929638068
2023-07-27,3024303.685858446,2759445.9625465986,1012191.2622214246
2023-07-28,3016754.6811540006,2748296.032856676,995278.4177751577
2023-07-29,2991755.673865988,2731352.308048521,983114.205763445
2023-07-30,2963811.064462321,2718635.7630264508,975957.1164495259
2023-07-31,2935713.6426434377,2709971.2455997504,972454.3349273958
2023-08-01,3248898.4478995902,2534084.246385616,1138162.092605423
2023-08-02,2848907.797479446,2675855.827122053,972925.8928692739
2023-08-03,2795019.973649826,2644447.7523364965,973946.1254737859
2023-08-04,2758635.218126115,2627470.3488975223,972871.2222441112
2023-08-05,2734186.9116335455,2608514.581570227,971304.7143188335
2023-08-06,2666245.7607090697,2548022.6273358744,970839.9730969942
2023-08-07,2608882.5256859316,2493943.3201904804,965714.3746991421
2023-08-08,2578004.8962702123,2464017.369902229,958698.6761277253
2023-08-09,2488327.641852093,2382761.7304358687,954554.7609982323
2023-08-10,2451354.2242098097,2349461.718144589,941909.8573522093
2023-08-11,2459062.3727932447,2355777.2219742285,926114.3176977441
2023-08-12,2459777.1842735554,2357310.5325788506,913562.8576571957
2023-08-13,2466024.8178823115,2370539.0905485325,903596.8196920948
2023-08-14,2477126.624745899,2397322.9008071776,896285.7812380253
2023-08-15,2495961.2127497965,2425542.4006757005,891289.4416642376
2023-08-16,2513832.2239666684,2449640.057629578,888510.2329807404
2023-08-17,2519637.843655658,2468420.1519940766,885907.5733116512
2023-08-18,2505630.4798471536,2474912.5609972803,880880.360273648
2023-08-19,2500838.184862712,2488733.124275235,875658.2251697378
2023-08-20,2520732.819319888,2506848.5354966447,868068.4578227996
2023-08-21,2532192.5211560857,2515161.6367513826,859818.3873441468
2023-08-22,2550444.944672844,2530828.77269354,851898.4255672995
2023-08-23,2579110.495127612,2540885.280016783,845841.527492296
2023-08-24,2613015.305846319,2547220.2107148957,840002.336935641
2023-08-25,2640728.146472111,2548871.9750509933,835643.7424878522
2023-08-26,2595792.321385116,2500121.64579156,836105.7809780468
2023-08-27,2572540.335283851,2493783.435907382,837134.5281661672
2023-08-28,2534452.2524144817,2483598.0412578257,844459.8059050377
2023-08-29,2463698.702434624,2440961.190211775,857887.0051430344
2023-08-30,2364498.236181936,2361702.148122308,872612.2349534343
2023-08-31,2281166.502031641,2312403.957330746,881292.6528490634
2023-09-01,2192212.6318233116,2248713.108965993,882465.3271578855
2023-09-02,2156423.545408059,2233375.616865607,875173.3020210279
2023-09-03,2133708.753740348,2218945.4004828422,867547.4347863192
2023-09-04,2092636.7879426526,2177543.138561464,859753.2600976513
2023-09-05,2068386.0852985766,2148481.1734468867,849953.6168768663
2023-09-06,2061214.687382055,2134402.3154149395,839688.4759186963
2023-09-07,2060469.9362732337,2121679.1651941943,830876.1375894062
2023-09-08,2051907.2747772713,2103875.9270627596,822346.6003880954
2023-09-09,2045349.8222754472,2093839.1464882172,814244.7755106626
2023-09-10,2035299.0051648642,2082241.8106676291,806362.4740400917
2023-09-11,1980031.2871845048,2031872.363341002,801240.1731731863
2023-09-12,1907956.2725503636,1962078.2861486762,794922.8919217796
2023-09-13,1801003.3631773198,1866863.443569149,788520.957210424
2023-09-14,1760216.9851785544,1840739.041611118,776573.2798659825
2023-09-15,1731495.1992848893,1827752.1685033722,764379.4735644206
2023-09-16,1703734.059156485,1814110.69382698,753121.3544414436
2023-09-17,1667662.9292067047,1790535.008237017,743141.4083975962
2023-09-18,1630973.679372386,1761985.0660621224,734209.9735352569
2023-09-19,1611023.0215256012,1743090.8203689884,723604.801450551
2023-09-20,1557348.6821148477,1689638.3930599792,713695.0980044855
2023-09-21,1538430.4067560756,1670696.526932884,701249.127727125
2023-09-22,1533227.9822941707,1656556.9736872404,689290.2536082637
2023-09-23,1517788.0539974081,1630505.841320889,679480.0379962928
2023-09-24,1410626.4255539807,1523501.4392743798,673337.3417258309
2023-09-25,1310855.6371474233,1442009.3895662301,665807.1751950644
2023-09-26,1204045.4930161594,1338782.499837595,662882.8344720282
2023-09-27,1128451.409977499,1256180.0581631993,655263.7618628737
2023-09-28,1065731.921313711,1185679.52221615,644247.4853014667
2023-09-29,1038768.8129364881,1150277.715254067,630066.9590886976
2023-09-30,1023660.5451793623,1128949.3209545421,615373.546237844
2023-10-01,1012496.0729181846,1114421.6138037776,602747.4692049018
2023-10-02,989228.0719960458,1084606.5589678502,590761.3135720394
2023-10-03,904781.3690001061,993573.5397629978,577634.1680472445
2023-10-04,890435.6260805791,970591.6811701454,563404.725950648
2023-10-05,874408.0580394822,943808.8491974757,550275.1369840377
2023-10-06,880518.2294577224,935319.2148675106,538122.8288238603
2023-10-07,896631.3758040725,935192.9688159256,526640.1760856156
2023-10-08,918433.2956956474,937485.3269540919,517040.80484194454
2023-10-09,923513.7583057623,923692.3148686506,509676.0727546351
2023-10-10,845091.1873863693,845162.840116689,502824.1711725732
2023-10-11,781352.4410314518,776895.6736948234,493982.76315200765
2023-10-12,783224.4252042642,760245.4543424854,487123.07772671216
2023-10-13,814165.4037533377,763435.9010273118,481101.9942678117
2023-10-14,820601.3311200407,741591.584932786,476344.89983794466
2023-10-15,811496.3171851523,704309.7500871426,472600.6662605366
2023-10-16,794511.3073252377,661573.3024140039,468579.3491852143
2023-10-17,756926.4268166261,606423.1408717637,464247.80047536193
2023-10-18,698960.9374436397,543155.7292562933,459409.67790827056
2023-10-19,681020.1689932104,513043.14532642317,455574.0240750755
2023-10-20,681260.1162482664,505736.3579900582,453725.8681912944
2023-10-21,689643.3197291489,510470.14289560396,452451.18922297057
2023-10-22,688211.6645457438,510163.4119523705,450436.23536823044
2023-10-23,714751.1169716092,534185.1841951031,448323.0813167451
2023-10-24,720775.8959298795,540787.4178688324,445549.28090091585
2023-10-25,654693.2442005827,482289.47141639167,439672.69618069736
2023-10-26,673640.9898365953,494988.7187147739,434523.07266974024
2023-10-27,701461.8940790126,516914.1711843594,429714.99846978683
2023-10-28,727750.1240855157,534324.1526985269,424813.08357255044
2023-10-29,747837.8813437059,544219.4798748217,419869.45579517883
2023-10-30,761773.4757474796,548267.8285529648,415129.03110407735
2023-10-31,771316.4613018851,548487.704030722,410489.1895423943
2023-11-01,766676.8735380451,540677.6997188646,406339.80764754285
2023-11-02,717745.3750637993,502295.1202022499,401732.62774059694
2023-11-03,676102.3076817892,470153.76881199516,397796.8458288445
2023-11-04,631602.9719693555,430393.9478855748,393390.3692835085
2023-11-05,591302.9090494829,393507.10869272647,388873.6868979419
2023-11-06,551885.861390385,362464.2284241831,384695.9656871309
2023-11-07,514448.52781026554,334347.0522095127,381059.6807467149
2023-11-08,522287.01415984065,342000.2031749077,378951.7013621602
2023-11-09,508783.85363095795,334925.8271000935,376346.95435935515
2023-11-10,477164.90593296714,309639.8556960324,372560.6178871729
2023-11-11,452591.3085084921,287174.3748435063,368096.68948380806
2023-11-12,437278.92839764216,270078.5210892236,364727.159519033
2023-11-13,419301.9449579065,251682.0546549916,361530.2649668222
2023-11-14,426533.43071752694,255061.22900800928,359401.45133000135
2023-11-15,431307.37490099616,260348.0815362385,357131.52656998154
2023-11-16,430194.8622241047,263913.01987394266,354693.4267663635
2023-11-17,440145.764472619,279193.98431528115,351996.3886425922
2023-11-18,446568.88658943214,295690.83218779485,348916.8312553974
2023-11-19,436056.8761163612,296900.43658273795,345408.38970876695
2023-11-20,432001.0414182462,302374.38287306356,341903.1321398915
2023-11-21,426853.60051674146,305672.64920542267,337156.43258228945
2023-11-22,400627.1702829749,285468.53615489684,331305.38691840344
2023-11-23,402294.08360733854,291714.74946178007,325064.7769417339
2023-11-24,405086.9429870916,297741.4966935551,318241.25306012767
2023-11-25,404039.87304474093,299421.0898722961,311175.43680341775
2023-11-26,399134.7517787222,295775.3798961323,303822.10762257164
2023-11-27,389282.2108239699,286602.9632304622,296317.3350711357
2023-11-28,375353.14338543994,273548.32114168,288802.89835412794
2023-11-29,357884.0155432077,256947.79705392482,281483.1014087063
2023-11-30,341539.2325071484,243164.82463756006,274485.4072106633
2023-12-01,302978.3918972988,204639.02315775008,267200.57740097534
2023-12-02,282765.6515998893,185393.76077432124,260193.07725777998
2023-12-03,274750.1632055414,175724.80370745098,254311.50538318668
2023-12-04,257612.3639444562,158622.9298197023,248893.1178092162
2023-12-05,233187.76543637604,134556.88571285788,243103.16349011668
2023-12-06,221583.34685614484,123913.91917030104,237903.11287022807
2023-12-07,214484.8713432292,118687.68664967256,232918.35912350472
2023-12-08,205245.4098279215,112078.36688057557,228212.71894389894
2023-12-09,207394.28684466824,114090.78495179862,223620.86577170296
2023-12-10,186874.79722012466,93371.56721772806,218209.62799603696
2023-12-11,176197.26157876514,85182.53823716345,213766.21136670525
2023-12-12,174086.7277016482,85354.31301284162,209795.00585312076
2023-12-13,171536.02779100178,86197.89842191612,205935.8418281689
2023-12-14,162826.80400269898,81559.99946720955,202137.56349039724
2023-12-15,156652.48188487536,79685.5195789757,198541.084484391
2023-12-16,155740.11966310872,82277.97211698255,194818.41592637147
2023-12-17,155583.039351083,85893.56592767236,191285.9220549445
2023-12-18,157621.52620985324,91576.67083894432,187721.794403339
2023-12-19,147446.3065387272,86004.56203785118,183913.0712529876
2023-12-20,136932.1826764706,79766.67244397664,180116.43907700948
2023-12-21,133141.2829765684,79453.79831705,176270.19755210757
2023-12-22,128223.8899238982,77547.26340230052,172265.37518940464
2023-12-23,127914.97731678095,78469.05786385336,168332.2303169358
2023-12-24,134418.21433625906,83715.30280669234,164285.41291214194
2023-12-25,125358.55349531233,75865.77916511043,160064.32604865156
2023-12-26,112615.93784779368,61028.79943425566,155722.43735021676
2023-12-27,114957.80698887914,61635.2602407104,151767.47958122374
2023-12-28,103025.90607807174,50715.81986960427,148006.03500729514
2023-12-29,96566.43865152089,45837.64716384744,144660.50026787556
2023-12-30,93610.24948414176,45357.864545565855,141495.44679460587
2023-12-31,89698.65630672521,44913.032371287634,138726.28973143376
2024-01-01,93975.9168242398,52173.3685150045,136208.05235136137
2024-01-02,96909.55425419871,57756.32049630715,133897.9234691847
2024-01-03,89730.31660724309,54142.58034456812,131549.25485576587
2024-01-04,90395.13081616287,57086.90195893359,129362.66448233454
2024-01-05,92677.88638452493,62081.84442147336,127292.80135035393
2024-01-06,87077.79548130228,59107.51822349876,124908.15255067726
2024-01-07,96698.21575443257,66961.59757574406,122712.85763343296
2024-01-08,103733.18771380486,72897.43286974488,120499.32263034875
2024-01-09,90232.84056234956,61358.076566057396,117656.44904093756
2024-01-10,88874.15699197727,59118.990865284475,114996.72409015328
2024-01-11,96821.05897337478,63177.103987210496,112737.09548108603
2024-01-12,100373.17457385035,63388.69708857584,110271.82413146777
2024-01-13,108952.9854828575,67741.80203028035,107665.72702017883
2024-01-14,119378.07275166012,75437.79129527393,105110.42518989621
2024-01-15,129641.83732021652,85945.52396348922,102845.0539626641
2024-01-16,139926.4712351261,98209.44079444934,100597.3510933204
2024-01-17,141804.0515977266,103376.72971121308,98313.5768841828
2024-01-18,128665.82146812452,91464.8357177552,96089.74528718772
2024-01-19,110228.99282138003,75125.13788357165,93593.55668170018
2024-01-20,98397.54915582841,67676.94210231853,91044.17052260383
2024-01-21,96078.03482066584,68068.05087664942,88588.92034104622
2024-01-22,86030.40190624708,61615.747851228254,86141.97840325133
2024-01-23,76214.1826903041,55626.04323984286,83845.13739268595
2024-01-24,75986.28520341458,56065.72620292034,81760.90421867005
2024-01-25,70444.46527675488,51853.85788741188,79823.87085395308
2024-01-26,66169.27716533787,49307.708874879725,78279.09659130024
2024-01-27,64984.82378000271,48629.62192921912,76928.54820280761
2024-01-28,60179.254736048126,45726.971542363965,75733.44368137575
2024-01-29,63151.27421058054,48737.415882735535,74786.67931118341
2024-01-30,67666.75985592343,52305.69213695817,73979.50125748741
2024-01-31,72553.39069552059,56399.45472421125,73201.0690943139
2024-02-01,70337.45412801893,55753.44434847615,72378.80554631143
2024-02-02,82514.82142594925,63802.397101101895,71734.55294937381
2024-02-03,100045.37194553058,75861.77017133834,71290.32452010109
2024-02-04,123041.01162632831,92760.70259738804,70865.91782846669
2024-02-05,148164.72661144458,112849.38429024915,70325.62006266764
2024-02-06,158037.44407234734,125372.78654019484,69838.28351470677
2024-02-07,190834.81951169818,156926.52182051953,69546.98670979384
2024-02-08,219798.51534486483,186148.68546492726,69498.46038660759
2024-02-09,241122.64824781858,209730.72937831568,69738.00139602134
2024-02-10,260098.63610603803,231609.81797833522,70234.27523541346
2024-02-11,249431.9645843258,226176.82970558558,70651.46127806963
2024-02-12,226733.89089900567,206051.04866394537,70716.12673684818
2024-02-13,236198.35794565507,224384.99783901853,70819.22145660246
2024-02-14,262833.7174026192,255931.57607585794,71158.35783709578
2024-02-15,281457.04074127716,280541.3912979268,71654.15434021554
2024-02-16,294461.0123129028,299782.2858831642,72297.23336495263
2024-02-17,326159.5642557023,338524.7446919148,73202.51698469979
2024-02-18,319008.2675845901,343134.8820181181,74064.34828329376
2024-02-19,306140.8376137067,336046.8531930336,74703.38580614162
2024-02-20,310165.2275961504,340480.3236131788,75166.9032308745
2024-02-21,298573.8217963368,329158.3969182158,75539.967852753
2024-02-22,288747.945627754,314762.1809440537,75703.33122025197
2024-02-23,301995.5608141865,327853.15606709936,76232.49261384636
2024-02-24,325770.8283164218,349336.1622722701,77273.5239705606
2024-02-25,307557.43147288053,327831.69659032417,78304.45722026317
2024-02-26,298120.74375120964,318176.118706659,79108.42632283008
2024-02-27,326239.5717807366,345852.7469888122,80607.46343369939
2024-02-28,314040.6779184442,329994.0811659197,82205.63176924213
2024-02-29,293022.9613309983,302600.31136248173,83682.0177705385
2024-03-01,302917.1067923257,314425.1331791474,85494.82301393356
2024-03-02,308435.39738263836,318322.94103509263,87323.59541663942
2024-03-03,325525.5634912454,341007.1715589502,89473.97638570452
2024-03-04,326288.20483483933,338521.7516833808,91413.49217404325
2024-03-05,370405.94266589003,402168.7499456975,93998.3816720894
2024-03-06,429738.1134612141,475771.7906259466,97466.53610692886
2024-03-07,482390.5429505534,532700.0709504837,101145.1148240744
2024-03-08,535761.8013139544,591638.1443480481,105100.14554782875
2024-03-09,514317.3028673862,570266.0769489231,109425.57853666846
2024-03-10,510287.75185064634,558910.8213179156,112275.61191433696
2024-03-11,504936.03688660014,540523.8788196197,115031.23137050284
2024-03-12,486585.2415081561,492702.8817050194,117244.47607973141
2024-03-13,507781.84557933814,514098.73082826694,120267.4485296046
