,b1
1229,4667.0
1230,4667.0
1231,4667.0
1232,4667.0
1233,4667.0
1234,4667.0
1235,4667.0
1236,4667.0
1237,4667.0
1238,4667.0
1239,4667.0
1240,4667.0
1241,4667.0
1242,4667.0
1243,4667.0
1244,4667.0
1245,4667.0
1246,4667.0
1247,4667.0
1248,4667.0
1249,4667.0
1250,4667.0
1251,4667.0
1252,4667.0
1253,4667.0
1254,4667.0
1255,4667.0
1256,4667.0
1257,4667.0
1258,4667.0
1259,4667.0
1260,4667.0
1261,4667.0
1262,4667.0
1263,4667.0
1264,4667.0
1265,4667.0
1266,4667.0
1267,4667.0
1268,4667.0
1269,4667.0
1270,4667.0
1271,4667.0
1272,4667.0
1273,4667.0
1274,4667.0
1275,4667.0
1276,4667.0
1277,4667.0
1278,4667.0
1279,4667.0
1280,4667.0
1281,4667.0
1282,4667.0
1283,4667.0
1284,4667.0
1285,4667.0
1286,4667.0
1287,4667.0
1288,4667.0
1289,4667.0
1290,4667.0
1291,4667.0
1292,4667.0
1293,4667.0
1294,4667.0
1295,4667.0
1296,4667.0
1297,4667.0
1298,4667.0
1299,4667.0
1300,4667.0
1301,4667.0
1302,4667.0
1303,4667.0
1304,4667.0
1305,4667.0
1306,4667.0
1307,4667.0
1308,4667.0
1309,4667.0
1310,4667.0
1311,4667.0
1312,4667.0
1313,4667.0
1314,4667.0
1315,4667.0
1316,4667.0
1317,4667.0
1318,4667.0
1319,4667.0
1320,4667.0
1321,4667.0
1322,4667.0
1323,4667.0
1324,4667.0
1325,4667.0
1326,4667.0
1327,4667.0
1328,4667.0
1329,4667.0
1330,4667.0
1331,4667.0
1332,4667.0
1333,4667.0
1334,4667.0
1335,4667.0
1336,4667.0
1337,4667.0
1338,4667.0
1339,4667.0
1340,4667.0
1341,4667.0
1342,4667.0
1343,4667.0
1344,4667.0
1345,4667.0
1346,4667.0
1347,4667.0
1348,4667.0
1349,4667.0
1350,4667.0
1351,4667.0
1352,4667.0
1353,4667.0
1354,4667.0
1355,4667.0
1356,4667.0
1357,4667.0
1358,4667.0
1359,4667.0
1360,4667.0
1361,4667.0
1362,4667.0
1363,4667.0
1364,4667.0
1365,4667.0
1366,4667.0
1367,4667.0
1368,4667.0
1369,4667.0
1370,4667.0
1371,4667.0
1372,4667.0
1373,4667.0
1374,4667.0
1375,4667.0
1376,4667.0
1377,4667.0
1378,4667.0
1379,4667.0
1380,4667.0
1381,4667.0
1382,4667.0
1383,4667.0
1384,4667.0
1385,4667.0
1386,4667.0
1387,4667.0
1388,4667.0
1389,4667.0
1390,4667.0
1391,4667.0
1392,4667.0
1393,4667.0
1394,4667.0
1395,4667.0
1396,4667.0
1397,4667.0
1398,4667.0
1399,4667.0
1400,4667.0
1401,4667.0
1402,4667.0
1403,4667.0
1404,4667.0
1405,4667.0
1406,4667.0
1407,4667.0
1408,4667.0
1409,4667.0
1410,4667.0
1411,4667.0
1412,4667.0
1413,4667.0
1414,4667.0
1415,4667.0
1416,4667.0
1417,4667.0
1418,4667.0
1419,4667.0
1420,4667.0
1421,4667.0
1422,4667.0
1423,4667.0
1424,4667.0
1425,4667.0
1426,4667.0
1427,4667.0
1428,4667.0
1429,4667.0
1430,4667.0
1431,4667.0
1432,4667.0
1433,4667.0
1434,4667.0
1435,4667.0
1436,4667.0
1437,4667.0
1438,4667.0
1439,4667.0
1440,4667.0
1441,4667.0
1442,4667.0
1443,4667.0
1444,4667.0
1445,4667.0
1446,4667.0
1447,4667.0
1448,4667.0
1449,4667.0
1450,4667.0
1451,4667.0
1452,4667.0
1453,4667.0
1454,4667.0
1455,4667.0
1456,4667.0
1457,4667.0
1458,4667.0
1459,4667.0
1460,4667.0
1461,4667.0
1462,4667.0
1463,4667.0
1464,4667.0
1465,4667.0
1466,4667.0
